Question;A;B;C;D;Correct Answer;Lecture
What is the purpose of the with statement when dealing with files?;Automatically closes the file;Opens the file;Creates a backup of the file;Deletes the file;A;6. File I/O
What does readlines() do?;Reads a single line;Reads all lines in a file;Appends a line;Deletes the file;B;6. File I/O
What is CSV short for?;Comma Separated Values;Comma Separated Variables;Comma Separated Values;Column Separated Values;A;6. File I/O
What is the purpose of the DictReader in the CSV module?;To read files in binary format;To read CSV files as dictionaries;To write CSV files;To create CSV files;B;6. File I/O
Which command is used to write to a CSV file using a dictionary?;writer.write(row);"writer.writerow({""name"": name, ""home"": home})";writer.dict(row);writer.append(row);B;6. File I/O
How do you ensure that the file is closed properly after writing?;Use close();Use open();Use with statement;Use readlines();C;6. File I/O
In the context of the CSV module, what does the csv.reader function return?;A single value;A dictionary;A list of rows;A text file;C;6. File I/O
Which library is used for handling images in Python?;PIL;CSV;JSON;XML;A;6. File I/O
What method is used to remove leading and trailing whitespace from a string in Python?;strip();remove();trim();delete();A;7. Regular Expressions
What is the purpose of the endswith() method in email validation?;Check if the string ends with a specific substring;Check if the string contains an @ symbol;Check if the string contains numbers;Check if the string is lowercase;A;7. Regular Expressions
Which library in Python provides functions to validate patterns using regular expressions?;os;re;math;sys;B;7. Regular Expressions
What does the symbol '.' represent in regular expressions?;Any character except a newline;The end of a string;Zero or more repetitions;Whitespace;A;7. Regular Expressions
"In the regular expression "".+@.+"",  what does the '+' symbol signify?";Zero or more repetitions;One or more repetitions;Optional repetition;A single repetition;B;7. Regular Expressions
Which special character is used in regular expressions to match the start of a string?;$;^;*;.;B;7. Regular Expressions
"In the expression r"".+@.+\.edu$""  what is the purpose of the backslash before the period?";Escape the period to match a literal dot;Indicate a new line;Match any character;Indicate case sensitivity;A;7. Regular Expressions
What does \w represent in regular expressions?;Any digit;Any whitespace character;Any word character (letters,  digits and underscore);Any non-digit character+L59;C;7. Regular Expressions
Which method in Python can be used to extract groups from a regular expression match?;match();group();split();find();B;7. Regular Expressions
How can we make regular expressions case insensitive in Python?;Using the re.MULTILINE flag;Using the re.DOTALL flag;Using the re.IGNORECASE flag;Using the re.GLOBAL flag;C;7. Regular Expressions
What is the main focus of Object-Oriented Programming (OOP)?;Step-by-step execution;Encapsulation and abstraction;Linear programming;Procedural coding;B;8. Object-Oriented Programming
What is the purpose of the get_student() function?;To print student information;To return a tuple of name and house;To modify the student's house;To initialize the Student class;B;8. Object-Oriented Programming
Which of the following is true about tuples?;They are mutable;They can be modified after creation;They cannot be modified;They are slower than lists;C;8. Object-Oriented Programming
What type of data structure can hold key-value pairs in Python?;List;Tuple;Dictionary;Set;C;8. Object-Oriented Programming
What does the __init__ method in a class define?;A way to access class attributes;The constructor for the class;A method to print object details;A way to modify existing objects;B;8. Object-Oriented Programming
In the context of the Student class, what does self refer to?;The class itself;The current instance of the class;The name of the student;The house of the student;B;8. Object-Oriented Programming
What will happen if a user does not provide a name when creating a Student object?;The program will print an error;The name will be set to 'Unknown';The object will be created without a name;The program will exit;A;8. Object-Oriented Programming
How do you access an attribute of an object in Python?;Using the * operator;Using dot notation;Using square brackets;Using parentheses;B;8. Object-Oriented Programming
Which of the following correctly initializes a Student object?;"student = Student(""Padma"", ""Gryffindor"")";"student = new Student(""Padma"", ""Gryffindor"")";"student = Student(""Padma"")";student = Student();A;8. Object-Oriented Programming
What does the raise keyword do in Python?;It creates a new variable;It handles exceptions;It generates an exception;It imports a module;C;8. Object-Oriented Programming
Which of the following methods is used to print the attributes of an object in a readable format?;__init__;__str__;__repr__;__display__;B;8. Object-Oriented Programming
What error will occur if a student�s house is not one of the defined houses?;IndexError;ValueError;TypeError;KeyError;B;8. Object-Oriented Programming
How can you ensure that a student's house is valid when creating a Student object?;Use a conditional check;Ignore invalid inputs;Always assign a default house;Allow any input;A;8. Object-Oriented Programming
What data structure is used in the revised code to store student information?;List;Tuple;Dictionary;Class;C;8. Object-Oriented Programming
In the final example, how many methods are present in the Student class?;One;Two;Three;Four;B;8. Object-Oriented Programming
What is the purpose of the @property decorator in Python?;It defines a class method;It defines a static method;It defines a property of a class;It initializes a class attribute;C;8. Object-Oriented Programming
Which function is used to validate the house property in the Student class?;__init__;house.getter;house.setter;@classmethod;C;8. Object-Oriented Programming
What exception is raised if the house value is not valid in the Student class?;TypeError;ValueError;AttributeError;KeyError;B;8. Object-Oriented Programming
In the Student class,  which attribute is protected by the underscore prefix?;house;name;_house;_name;C;8. Object-Oriented Programming
What does the @classmethod decorator allow in a Python class?;It defines a method that operates on class instances;It defines a method that operates on the class itself;It defines a private method;It initializes the class object;B;8. Object-Oriented Programming
Which method allows adding two Vault objects together in Python?;__str__;__init__;__add__;__eq__;C;8. Object-Oriented Programming
What Python built-in class represents integers?;str;int;list;dict;B;8. Object-Oriented Programming
In inheritance,  what keyword is used to refer to the parent class?;self;super;cls;parent;B;8. Object-Oriented Programming
Which decorator in Python is used to define methods that are not related to class or instance variables?;@classmethod;@property;@staticmethod;@instance;C;8. Object-Oriented Programming
What Python class method can be used to create a Student object without instantiating the class first?;get_student();get();house();sort();B;8. Object-Oriented Programming 
